customer_unique_id,recency,R,frequency,F,monetary,M,score,RFM_level
04b3b974dfe285ac9f2eb96a6a9cbb9c,458,0,1,0,492.04,2,2,Regular
04b77c8cac8753d9c354acb94fd75233,47,4,1,0,236.99,1,5,Muito bom
04c30572288c174afe55fdf8cebce643,304,2,1,0,269.0,1,3,Regular
04c9f042aaafb2430f14e0c3d46c0a68,99,4,1,0,579.99,2,6,Ótimo
04d3c2795b83634312bf3f86f41f7901,391,1,2,1,557.99,2,4,Bom
04e01ceba008c9f51cb4e9eb876dfc6a,496,0,1,0,469.0,2,2,Regular
04e6136a14d4d23d0b5d79443b94225b,593,0,1,0,128.0,0,0,Ruim
04e6e34e5ad54169544a7378223acdbe,377,1,1,0,419.9,1,2,Regular
04ecdc3e754a48294d832436960a3280,309,2,2,1,308.8,1,4,Bom
04efac4a29eec2c5662b65e87291ec38,15,4,1,0,579.0,2,6,Ótimo
04f1fd1b75385fd1c7b6de018e0c4ab3,473,0,1,0,789.99,2,2,Regular
04f2b3af34d63daf3623b1ff65293459,85,4,1,0,265.0,1,5,Muito bom
04f6c356ddb5f3a920e75c91a521aa1c,252,2,1,0,190.83,1,3,Regular
050405d24e96aa9c9e77c2acdeb588a8,385,1,1,0,239.9,1,2,Regular
05041293eb4002c27c3bebf636dbd308,302,2,1,0,499.9,2,4,Bom
0509ab034845adb0b4c91b6f0e7b7260,122,3,2,1,316.0,1,5,Muito bom
051be26c01eaee2404f19132b80da15f,283,2,1,0,469.0,2,4,Bom
0528aa1ee576b1eb9edf5604789d316c,406,1,1,0,215.9,1,2,Regular
05292bc3f6db7fd79133285a32a82d53,175,3,1,0,1199.0,3,6,Ótimo
052ecc20fc75531a24365017cccf4b44,507,0,1,0,849.0,2,2,Regular
052efa2c1bd83a8d13927cc08bc30d75,146,3,1,0,550.0,2,5,Muito bom
0532802259922375b79e84a63321ed5f,528,0,1,0,245.99,1,1,Ruim
053b7090271ed4dacbfe0afd6382bbab,340,1,5,3,69.86,0,4,Bom
0559a73000c8e1b9a50beb5441ef6046,560,0,1,0,343.4,1,1,Ruim
055ec572ac7f3c7bdd04a183830ebe59,412,1,2,1,3999.98,4,6,Ótimo
05611a5f1fa509eef8b92840648a6b34,402,1,3,2,554.7,2,5,Muito bom
0561577fae5ac90dc55e6ec7755f4823,84,4,1,0,879.77,2,6,Ótimo
057581e17e81bd35d08e3cdc8f79e60a,517,0,1,0,332.24,1,1,Ruim
05779697464f50cf68fbff9f39a5ba1e,318,2,1,0,699.0,2,4,Bom
057dbb60927c6bc5bf3ca3f2f23e447f,357,1,1,0,1549.99,3,4,Bom
0588cca7a35c8d68b0503d9ae53dee38,545,0,1,0,249.9,1,1,Ruim
058d762747c6abfa37aab7f46a08a110,24,4,1,0,499.99,2,6,Ótimo
059063072de58e5a847e76c4593d5629,70,4,2,1,837.8,2,7,Ótimo
059d9f786496163334e5ea84c053917a,57,4,1,0,795.0,2,6,Ótimo
059e7585d8fcd2430a33375bdbcbb990,15,4,2,1,434.69,1,6,Ótimo
05a0d2f74bfcf5c9f349eeff7939ce76,159,3,1,0,185.0,1,4,Bom
05a52a1a122f97ac13d61c160bbe7225,47,4,1,0,359.0,1,5,Muito bom
05b0ef4db4b270f35b932bd7157fa44c,465,0,1,0,458.0,1,1,Ruim
05b82760216e5ec78270c2eb12bee770,150,3,1,0,428.0,1,4,Bom
05cb25c0b98e8d6f839049d97adfecab,43,4,3,2,676.0,2,8,Ótimo
05cc11f944a9cc2f8dd41fae770c313d,112,3,1,0,510.0,2,5,Muito bom
05d1cd05687fd5153a9c244ee7052e99,403,1,1,0,279.9,1,2,Regular
05d4a7799b1b99f40a6a679e24df86df,357,1,1,0,319.0,1,2,Regular
05d7600f5c526e0722b3e07059588bcb,180,3,2,1,338.0,1,5,Muito bom
05dc31852040e5e6837f220db434be1c,181,3,1,0,470.0,2,5,Muito bom
05dc7381ace8c9b5a634129ce38dff60,382,1,2,1,485.0,2,4,Bom
05deca1c689c7d6d251146fbe36d37ae,545,0,6,3,240.6,1,4,Bom
05eb062756e6d4358e72b1caf0ec22b1,117,3,1,0,1399.0,3,6,Ótimo
0601c193e5eb834eb2a069b7128e20fb,533,0,1,0,849.0,2,2,Regular
06056712884d6dcbce31c2e54e3c4f67,258,2,1,0,325.0,1,3,Regular
060f9ea0a180843fb91d4923b6d01bea,177,3,2,1,576.8,2,6,Ótimo
061e0d9d23f099ebcc78d1c90f94dfbe,22,4,1,0,1623.9,3,7,Ótimo
0621c2a5979d3e887ae519620cbe2926,389,1,3,2,467.70000000000005,2,5,Muito bom
0621cda5f3ee9a2e6f3ae6ebb5fcdbe1,107,3,1,0,2470.5,3,6,Ótimo
0623f038035c3a191a8c19d01965611e,117,3,2,1,240.0,1,5,Muito bom
06268d8f74c7184ef40d1a3861688cfc,401,1,1,0,898.0,2,3,Regular
0636d30c77f0f9cfad81f1c9b58c791f,696,0,1,0,949.99,2,2,Regular
064fb6f70338688d1372235d95d92ff7,116,3,6,3,960.0,2,8,Ótimo
0651cfbea51afc6cfa5ec45bca3ee692,473,0,1,0,7.0,0,0,Ruim
0651d1d452e23d14caf7c7cf51f46071,594,0,1,0,379.0,1,1,Ruim
065938485846aa5adc196cb536de42e0,192,3,2,1,384.9,1,5,Muito bom
0659f2d6cabae94afd4d009c6d0e07dc,694,0,2,1,390.0,1,2,Regular
065c54f9c2d4b54d9203c98f4f247089,297,2,1,0,510.0,2,4,Bom
065dd01c6b43b086b22fdc329552d765,398,1,2,1,295.8,1,3,Regular
065f84fa4c6cf58cdb7d2f1f6fc21f1e,169,3,1,0,914.0,2,5,Muito bom
0661e01d452f82266d0d2ad2ab668575,565,0,1,0,143.8,0,0,Ruim
0665dfc7cfced30881762973ab80a4a0,119,3,1,0,443.0,1,4,Bom
0666ba861e36a64cb905ec389d630357,451,1,1,0,349.0,1,2,Regular
066ee6b9c6fc284260ff9a1274a82ca7,440,1,6,3,419.4,1,5,Muito bom
0672d01bce31cb5657b5eb58c0f4884a,270,2,3,2,579.7,2,6,Ótimo
